tag,rating_avg
zombies,3.68452380952
wrongful imprisonment,4.48713826367
witty!,3.84770114943
witty,3.85416666667
will farell,3.05882352941
who done it,3.3
whimsical,4.10317460317
well done,3.95833333333
weird,3.45238095238
war,4.0780141844
visually appealing,3.92045454545
visceral,3.6511627907
virtual reality,4.1833976834
violent,4.03630363036
violence,4.07589285714
villain nonexistent or not needed for good story,3.8141025641
vigilantism,3.52272727273
video game adaptation,3.0
very funny!,3.06153846154
vengeance,3.91176470588
vampires,2.53846153846
vampire,3.19047619048
unusual plot structure,4.13559322034
unique look,2.72727272727
uganda,2.5
twist ending,4.04598737601
true story,3.54545454545
travel,3.61842105263
tragedy,4.08823529412
touching,3.63333333333
tosee,3.5
toplist16,4.5
toplist15,3.90882352941
toplist14,3.83690987124
toplist13,3.78571428571
toplist12,3.72727272727
toplist11,3.72900763359
toplist10,3.8903803132
toplist09,3.88549618321
toplist08,3.77692307692
toplist07,3.80769230769
toplist06,3.88169014085
toplist05,3.80088495575
too long,2.91176470588
tom hanks,3.9025
tobey maguire,3.5223880597
tivo,3.68269230769
time-travel,4.1511627907
time travel,4.08823529412
tim robbins,3.80681818182
thriller,4.24132947977
thought-provoking,4.01369863014
thora birch,3.66666666667
the best comic adaptation!,3.625
that fat nerd is just annoying,3.91509433962
terrible ending,3.52272727273
teleportation,3.83333333333
teenagers,4.0
teen pregnancy,3.85416666667
technology,4.09523809524
tcm,4.11666666667
tarantino,4.25617283951
sword fight,3.85460992908
sweet,3.3253968254
suspense,4.2
surrealism,3.58771929825
surreal,3.93867924528
supernatural powers,4.22164948454
superhero,3.1686746988
super-hero,3.86111111111
sufficiently explodey to be good,2.625
stylized,3.75
stupidity,3.5
stupid,2.39285714286
strong female presence,2.5
strippers,3.21666666667
storyline,4.04166666667
steve martin,3.26785714286
steve carell,3.90789473684
stereotypes,3.125
steampunk,3.28571428571
starwars,4.22164948454
starship pilots,4.0599078341
star,3.51724137931
standard romantic comedy,2.48076923077
stallone,3.78985507246
spock,3.83333333333
space adventure,4.22164948454
space,4.12068965517
sort of honest,3.66666666667
social criticism,3.53333333333
social commentary,4.22457627119
snorefest,2.72413793103
slow parts,3.63333333333
slow,3.87280701754
sightsound,3.8813559322
siblings,3.7
short,3.5
shakespeare,3.52586206897
sexy food,3.05
sexist,3.74137931034
sex,3.64705882353
series,4.22164948454
serial killer,4.03482587065
sequel,4.0599078341
sentimental,4.1511627907
self discovery,3.80612244898
seen it before,3.33783783784
script,4.22164948454
sci-fi,4.08535447761
sci fi,3.83333333333
school,4.04098360656
scary,3.7265625
satirical,3.99583333333
satire,4.01379310345
sandra 'boring' bullock,3.44059405941
sad,3.7
romantic comedy,3.24166666667
romantic,3.83939393939
romance,3.27747252747
rock and roll,3.52941176471
robots,2.625
road trip,3.82710280374
ridiculous training sequence,2.47826086957
rich families,3.35849056604
revenge,4.35317460317
renegade art,3.91666666667
renee z,2.80952380952
relativity,4.1511627907
relationships,3.82236842105
redemption,3.33333333333
racism,3.64179104478
r:violence,4.25617283951
r. phoneix,4.09375
quirky,3.9917218543
psychology,4.11534391534
psychological thriller,3.84375
psychological,3.99837662338
privacy,3.5
prison escape,4.48713826367
prison,4.48713826367
pregnancy,3.85416666667
predictable,3.46992481203
powerpoint,3.78947368421
post-apocalyptic,3.555
possession,3.7265625
politics,4.1
plot holes,3.19736842105
play enough video games and you can become an NSA agent,2.47826086957
pixar,4.09523809524
pirates,3.87748344371
physics,4.1511627907
photography,3.57142857143
philosophy,4.14324324324
philosophical issues,4.1511627907
philosophical,3.56060606061
parody,3.12745098039
paranoid,3.921875
overrated,3.95547945205
original plot,3.63333333333
organized crime,4.15532544379
on the run,4.02857142857
okay,3.5
off-beat comedy,3.96173469388
ocean,3.90625
obvious plot,3.42857142857
notable soundtrack,4.096
notable nudity,3.9
not worth your time,2.57142857143
not too thrilled,3.5
not only for kids,3.52941176471
not by book,3.82608695652
