tag,rating_avg
é˜®ä¸€é¸£,3.92123956132
ç»å…¸,4.02900018135
æš´åŠ›,4.17423116922
æµ‹è¯•,3.46666666667
å¥½äºº,3.58919902913
ä½Žä¿—å°è¯´,4.17423116922
Ø§Ø­Ø³Ø§Ø³Ø§ØªÙŠ,2.94611375134
Özgür Yildirim,3.16666666667
Özer Kiziltan,3.82692307692
Ömer Faruk Sorak,3.33333333333
Î•Î¯Î½Î±Î¹ ÎµÎ¾Î±Î¹ÏÎµÏ„Î¹ÎºÎ¬ Î´Î¹ÎµÏƒÏ„ÏÎ±Î¼Î­Î½Î·,3.70448548813
Éva Gárdos,3.54624277457
Étienne Chatiliez,3.4
Çagatay Tosun,4.0
Çagan Irmak,3.8
Å¡Å†uk,3.72698949617
Åke Sandgren,3.47272727273
Ã‰rase una vez en AmÃ©rica,3.95020988806
Ã“scar Jaenada,3.3172
Ã¼bermensch,3.40692792162
Ãvila,1.66666666667
Ãlex de la Iglesia,3.68934911243
Â¡Olivier Martinez!,3.56270358306
Â London,3.7
Álex de la Iglesia,3.4528718704
Ágnes Hranitzky,3.62244897959
religion:Elvis,3.51385325808
oppl,3.74455930359
London,3.7
character based on real person:The King,3.51385325808
 ,3.79763107668
zzzzzzzzzzzzzz...,4.13792506591
zydeco,3.384
zweverig,3.39354473386
zuzu's petals,4.06429281454
zoophilia,3.30158730159
zoom zoom,2.49392876417
zoom,3.45454545455
zooey deschanel's awful singing voice,3.80423096931
zooey deschanel,3.76686728597
zoo,3.28947368421
zombified action,3.77208525937
zombies don't need to breathe,3.24292845258
zombies,3.70605120946
zombie vampire hybrid,3.48956239369
zombie plot,3.47295708407
zombie movie with vampires,3.06552706553
zombie film,2.67391304348
zombie,3.72447622353
zoltan,2.50658682635
zoeey deschanel,3.81556936771
zizek's pick,3.83121126761
zizek,3.73076923077
zither,4.24600152323
zimbabwe,4.0
ziegfeld follies,3.35159010601
zibri studio,4.12981164355
zhun long,3.85243006499
zhang yimou,3.9199336448
zest for life,4.08186545882
zero gravity,3.40381021282
zero entertainment value,3.73869610936
zero 7,3.82779775756
zeppelin,3.9613016942
zeitgeist-y,4.17423116922
zeitgeist,3.09583333333
zeichnungen als übergang,2.81337103615
zegist,3.70224719101
zef,3.34615384615
zebras,3.36527208894
zebra,3.36527208894
zealots,3.37777777778
zany,2.10344827586
yuppies,3.50327998511
yukon,3.61274509804
yuen woo-ping,3.64606741573
yuen chor,4.0
yucky,3.05699875639
ytmnd,3.68124681502
yoyoyo,3.88386616248
youtube,3.57473823969
youth rebellion,3.52
youth gone wild,3.35996892973
youth,3.82394038193
your shirt look like a curtain,3.43067623725
your ratings,3.27314814815
your out of ur element donnie!!!!,3.94494571773
younger version of character,3.87349247793
younger men,3.40167814114
younger Gandalf,3.7714254241
young target audience,3.73099069836
young sexual education,3.89459864966
young romance,3.55825242718
young people,3.83891174271
young parents,3.46783625731
young mother,3.51686217009
young meryl streep,3.92556370551
young love,3.80624197689
young kids,3.81323594757
young kid,3.29338842975
young jim carrey,3.5
young intellectuals,3.57207207207
young heroes,3.62123971798
young girls,3.48630136986
young girl,4.05057355449
young age classic,3.65331589011
young adult,3.5
young Anakin,3.09407445231
young,3.4765878535
youkai,3.05
you've seen them all.,3.30049548237
you're tearing me apart lisa,2.42628205128
